timestamp,elapsed_s,arm,tps, ,temp_c,violation_flag,kernel_freq_mhz,actual_freq_mhz,throttle_bits
1774007868,138.261,B3,0,633,79.9,0,1200,1200,0
1774007869,139.265,B3,0,633,79.9,0,1200,1200,0
1774007870,140.265,B3,0,633,79.4,0,1200,1200,0
1774007871,141.265,B3,0,633,80.3,1,1200,1200,0
1774007872,142.269,B3,0,633,79.9,0,1200,1200,0
1774007873,143.273,B3,0,633,79.9,0,1200,1200,0
1774007874,144.277,B3,0,633,79.4,0,1200,1200,0
1774007875,145.281,B3,0,633,80.3,1,1200,1200,0
1774007876,146.284,B3,0,633,81.3,1,1200,1200,0
1774007877,147.284,B3,0,633,80.8,1,1200,1200,0
1774007878,148.284,B3,0,633,80.8,1,1200,1200,0
1774007879,149.284,B3,0,633,80.8,1,1200,1200,0
1774007880,150.285,B3,0,633,80.3,1,1200,1200,0
1774007881,151.285,B3,0,633,80.3,1,1200,1200,0
1774007882,152.289,B3,0,633,80.8,1,1200,1200,0
1774007883,153.292,B3,0,633,79.9,0,1200,1200,0
1774007884,154.292,B3,0,633,79.9,0,1200,1200,0
1774007885,155.292,B3,0,633,80.3,1,1200,1200,0
1774007886,156.292,B3,0,633,81.8,1,1200,1200,0
1774007887,157.293,B3,0,633,80.8,1,1200,1200,0
1774007888,158.293,B3,0,633,80.3,1,1200,1200,0
1774007889,159.293,B3,180.2796,783,80.3,1,1200,1200,0
1774007890,160.297,B3,0,783,80.8,1,1200,1200,0
1774007891,161.297,B3,0,783,80.3,1,1200,1200,0
1774007892,162.301,B3,0,783,81.8,1,1200,1200,0
1774007893,163.301,B3,0,783,80.8,1,1200,1200,0
1774007894,164.305,B3,0,783,80.8,1,1200,1200,0
1774007895,165.309,B3,0,783,80.3,1,1200,1200,0
1774007896,166.313,B3,0,783,80.3,1,1200,1200,0
1774007897,167.317,B3,0,783,80.8,1,1200,1200,0
1774007898,168.317,B3,0,783,80.8,1,1200,1200,0
1774007899,169.321,B3,0,783,79.9,0,1200,1200,0
1774007900,170.321,B3,0,783,80.3,1,1200,1200,0
1774007901,171.321,B3,0,783,79.9,0,1200,1200,0
1774007902,172.325,B3,0,783,80.3,1,1200,1200,0
1774007903,173.329,B3,0,783,79.4,0,1200,1200,0
1774007904,174.333,B3,0,783,79.9,0,1200,1200,0
1774007905,175.337,B3,0,783,82.8,1,1200,1200,0
1774007906,176.341,B3,0,783,80.8,1,1200,1200,0
1774007907,177.345,B3,0,783,80.3,1,1200,1200,0
1774007908,178.348,B3,0,783,80.8,1,1200,1200,0
1774007909,179.348,B3,0,783,79.9,0,1200,1200,0
1774007910,180.348,B3,0,783,80.3,1,1200,1200,0
1774007911,181.348,B3,0,783,79.9,0,1200,1200,0
1774007912,182.353,B3,0,783,80.8,1,1200,1200,0
1774007913,183.353,B3,0,783,80.3,1,1200,1200,0
1774007914,184.357,B3,0,783,80.3,1,1200,1200,0
1774007915,185.357,B3,0,783,81.3,1,1200,1200,0
1774007916,186.361,B3,0,783,80.3,1,1200,1200,0
1774007918,187.365,B3,0,783,80.8,1,1200,1200,0
1774007919,188.369,B3,0,783,80.8,1,1200,1200,0
1774007920,189.369,B3,0,783,80.8,1,1200,1200,0
1774007921,190.373,B3,175.1524,933,80.8,1,1200,1200,0
1774007922,191.377,B3,0,933,81.3,1,1200,1200,0
1774007923,192.381,B3,0,933,80.8,1,1200,1200,0
1774007924,193.385,B3,0,933,80.3,1,1200,1200,0
1774007925,194.389,B3,0,933,80.3,1,1200,1200,0
1774007926,195.393,B3,0,933,80.8,1,1200,1200,0
1774007927,196.397,B3,0,933,80.8,1,1200,1200,0
1774007928,197.397,B3,0,933,80.8,1,1200,1200,0
1774007929,198.397,B3,0,933,80.8,1,1200,1200,0
1774007930,199.401,B3,0,933,80.3,1,1200,1200,8
1774007931,200.405,B3,0,933,80.3,1,1200,1200,0
1774007932,201.405,B3,0,933,80.8,1,1200,1200,0
1774007933,202.409,B3,0,933,80.8,1,1200,1200,0
1774007934,203.409,B3,0,933,81.8,1,1200,1200,0
1774007935,204.413,B3,0,933,81.8,1,1200,1200,0
1774007936,205.417,B3,0,933,80.3,1,1200,1200,0
1774007937,206.417,B3,0,933,80.3,1,1200,1200,0
1774007938,207.421,B3,0,933,80.8,1,1200,1200,0
1774007939,208.425,B3,0,933,80.8,1,1200,1200,0
1774007940,209.427,B3,0,933,81.3,1,1200,1200,0
1774007941,210.427,B3,0,933,80.3,1,1200,1200,8
1774007942,211.427,B3,0,933,81.3,1,1200,1200,0
1774007943,212.427,B3,0,933,81.3,1,1200,1200,0
1774007944,213.427,B3,0,933,79.9,0,1200,1200,0
1774007945,214.428,B3,0,933,80.8,1,1200,1200,0
1774007946,215.428,B3,0,933,80.8,1,1200,1200,0
1774007947,216.428,B3,0,933,80.8,1,1200,1200,0
1774007948,217.431,B3,0,933,81.8,1,1200,1200,0
1774007949,218.431,B3,0,933,80.8,1,1200,1200,0
1774007950,219.431,B3,0,933,80.3,1,1200,1200,0
1774007951,220.437,B3,179.1986,1083,80.8,1,1200,1200,0
1774007952,221.441,B3,0,1083,81.3,1,1200,1200,0
1774007953,222.445,B3,0,1083,80.8,1,1200,1200,0
1774007954,223.445,B3,0,1083,80.3,1,1200,1200,0
1774007955,224.445,B3,0,1083,81.3,1,1200,1200,0
1774007956,225.449,B3,0,1083,81.3,1,1200,1200,0
1774007957,226.453,B3,0,1083,81.8,1,1200,1200,0
1774007958,227.457,B3,0,1083,80.3,1,1200,1200,0
1774007959,228.457,B3,0,1083,80.8,1,1200,1200,0
1774007960,229.457,B3,0,1083,80.8,1,1200,1200,0
1774007961,230.461,B3,0,1083,80.8,1,1200,1200,0
1774007962,231.465,B3,0,1083,81.8,1,1200,1200,0
1774007963,232.469,B3,0,1083,80.3,1,1200,1200,0
1774007964,233.469,B3,0,1083,80.8,1,1200,1200,0
1774007965,234.473,B3,0,1083,79.9,0,1200,1200,0
1774007966,235.477,B3,0,1083,81.8,1,1200,1200,0
1774007967,236.481,B3,0,1083,80.8,1,1200,1200,0
1774007968,237.485,B3,0,1083,80.3,1,1200,1200,0
1774007969,238.485,B3,0,1083,81.8,1,1200,1200,0
1774007970,239.485,B3,0,1083,81.3,1,1200,1200,0
1774007971,240.489,B3,0,1083,80.3,1,1200,1200,0
1774007972,241.493,B3,0,1083,80.3,1,1200,1200,0
1774007973,242.497,B3,0,1083,80.3,1,1200,1200,0
1774007974,243.497,B3,0,1083,80.3,1,1200,1200,0
1774007975,244.501,B3,134.6325,1199,81.3,1,1200,1200,0
1774007976,245.501,B3,0,1199,80.8,1,1200,1200,0
1774007977,246.505,B3,0,1199,79.9,0,1200,1200,0
1774007978,247.505,B3,0,1199,80.8,1,1200,1200,0
1774007979,248.505,B3,0,1199,80.3,1,1200,1200,0
1774007980,249.506,B3,0,1199,79.9,0,1200,1200,0
1774007981,250.509,B3,0,1199,80.3,1,1200,1200,0
1774007982,251.509,B3,0,1199,80.3,1,1200,1200,0
1774007983,252.513,B3,0,1199,81.8,1,1200,1200,0
1774007984,253.517,B3,0,1199,80.3,1,1200,1200,0
1774007985,254.521,B3,0,1199,81.3,1,1200,1200,0
1774007986,255.525,B3,0,1199,80.3,1,1200,1200,0
1774007987,256.529,B3,0,1199,80.3,1,1200,1200,0
1774007988,257.529,B3,0,1199,80.3,1,1200,1200,0
1774007989,258.533,B3,0,1199,81.8,1,1200,1200,0
1774007990,259.534,B3,0,1199,80.8,1,1200,1200,8
1774007991,260.535,B3,0,1199,81.3,1,1200,1200,0
1774007992,261.537,B3,0,1199,80.3,1,1200,1200,0
1774007993,262.537,B3,0,1199,81.3,1,1200,1200,0
1774007994,263.541,B3,0,1199,81.3,1,1200,1200,0
1774007995,264.541,B3,0,1199,81.8,1,1200,1200,0
1774007996,265.545,B3,0,1199,82.3,1,1200,1200,8
1774007997,266.545,B3,0,1199,81.3,1,1200,1200,0
1774007998,267.549,B3,0,1199,80.8,1,1200,1200,0
1774007999,268.549,B3,0,1199,80.8,1,1200,1200,0
1774008000,269.553,B3,0,1199,81.3,1,1200,1200,0
1774008001,270.557,B3,0,1199,81.3,1,1200,1200,0
1774008002,271.561,B3,0,1199,81.3,1,1200,1200,8
1774008003,272.561,B3,0,1199,81.8,1,1200,1200,0
1774008004,273.562,B3,0,1199,82.3,1,1200,1200,0
1774008005,274.562,B3,178.0323,1349,82.3,1,1200,1200,0
1774008006,275.565,B3,0,1349,82.3,1,1200,1200,0
1774008007,276.565,B3,0,1349,80.8,1,1200,1200,0
